"171";"0";"MEDITERRANEAN LOW CARB BROCCOLI SALAD DRESSING";"Dried Oregano";"1.75";"tsp";"Oregano"
"172";"0";"MEDITERRANEAN LOW CARB BROCCOLI SALAD DRESSING";"Garlic minced";"1.5";"tsp";"Garlic"
"173";"0";"MEDITERRANEAN LOW CARB BROCCOLI SALAD DRESSING";"Basil";"1.5";"tsp";"Basil"
"174";"0";"MEDITERRANEAN LOW CARB BROCCOLI SALAD DRESSING";"Thyme";"1.5";"tsp";"Thyme"
"175";"0";"MEDITERRANEAN LOW CARB BROCCOLI SALAD DRESSING";"Sea Salt";"1";"tsp";"Sea Salt"
"176";"0";"MEDITERRANEAN LOW CARB BROCCOLI SALAD DRESSING";"Pepper";"1";"tsp";"Pepper"
"177";"0";"MEDITERRANEAN LOW CARB BROCCOLI SALAD DRESSING";"Sun Dried Tomatoe Oil";"2";"Tbsp";"Sun Dried Tomatoe Oil"
"178";"0";"MEDITERRANEAN LOW CARB BROCCOLI SALAD";"Salted Sunflower Seeds";"1";"Cup";"Salted Sunflower Seeds"
"182";"0";"Kung Pao Chickpeas";"Red Onion";"unit";"0.5";"red onion"
"183";"0";"Kung Pao Chickpeas";"Red Bell Pepper";"unit";"1";"bell pepper"
"184";"0";"Kung Pao Chickpeas";"Chick Peas";"can";"1";"chick peas"
"185";"0";"Kung Pao Chickpeas";"Soy Sauce";"cups";"0.25";"soy sauce"
"186";"0";"Kung Pao Chickpeas";"Basamic Vinegar";"tbsp";"2";"basalmic vinegar"
"187";"0";"Kung Pao Chickpeas";"Maple Syrup";"tbsp";"2";"maple syrup"
"188";"0";"Kung Pao Chickpeas";"Garlic Powder";"tsp";"0.5";"garlic powder"
"189";"0";"Kung Pao Chickpeas";"Ground Ginger";"tsp";"0.5";"ginger"
"190";"0";"Kung Pao Chickpeas";"Red Pepper Flakes";"tsp";"1";"red pepper flakes"
"191";"0";"Kung Pao Chickpeas";"Sesame Oil";"tsp";"1";"sesame oil"
"192";"0";"Kung Pao Chickpeas";"Green Onions";"units";"3";"green onions"
"193";"0";"MEDITERRANEAN LOW CARB BROCCOLI SALAD DRESSING";"Broccoli";"5";"Cups";"Broccoli"
"194";"0";"MEDITERRANEAN LOW CARB BROCCOLI SALAD DRESSING";"Artichoke";"0.5";"Cups";"Artichoke"
